PLZ,Ort,Wohnung_Min,Wohnung_Durchschnitt,Wohnung_Max,Haus_Min,Haus_Durchschnitt,Haus_Max
1195,Bursinel,5396,10669,22073,5937,11888,29349
1196,Gland,5001,9889,20460,5547,11109,27425
1197,Prangins,5432,10740,22220,6058,12132,29951
1201,Genève,4055,8315,20074,3323,7710,19607
1202,Genève,4055,8315,20074,3323,7710,19607
1203,Genève,4055,8315,20074,3323,7710,19607
1204,Genève,4055,8315,20074,3323,7710,19607
1205,Genève,4055,8315,20074,3323,7710,19607
1206,Genève,4055,8315,20074,3323,7710,19607
1207,Genève,4055,8315,20074,3323,7710,19607
1208,Genève,4055,8315,20074,3323,7710,19607
1209,Genève,4055,8315,20074,3323,7710,19607
1212,Grand-Lancy,7057,12108,27264,7913,12737,34204
1213,Petit-Lancy,7195,12346,27798,7971,12830,34454
1213,Onex,6975,11968,26947,8099,13036,35007
1214,Vernier,6419,11014,24799,7692,12381,33247
1215,Genève,7092,12170,27402,8010,12894,34626
1216,Cointrin,6504,11160,25129,8336,13418,36032
1217,Meyrin,6518,11185,25185,7134,11483,30836
1218,Le Grand-Saconnex,7904,13562,30537,8483,13655,36669
1219,Le Lignon,6095,10459,23549,6569,10574,28395
1219,Aïre,6308,10825,24374,7175,11550,31017
1219,Châtelaine,6347,10891,24522,7832,12607,33855
1220,Les Avanchets,5644,9685,21808,7601,12235,32855
1222,Vésenaz,8945,15349,34562,10424,16779,45058
1223,Cologny,9969,17105,38515,13362,21508,57758
1224,Chêne-Bougeries,9073,15568,35055,10458,16834,45206
1225,Chêne-Bourg,7661,13146,29599,8883,14298,38396
1226,Thônex,7496,12863,28964,8319,13391,35959
1227,Carouge GE,8492,14572,32810,9061,14585,39166
1227,Les Acacias,7908,13570,30555,8025,12918,34690
1228,Plan-les-Ouates,6945,11917,26833,7682,12366,33207
1231,Conches,9727,16690,37580,11529,18558,49836
1232,Confignon,7050,12097,27238,7541,12139,32597
1233,Bernex,6331,10863,24461,7233,11644,31267
1234,Vessy,8522,14623,32926,8797,14160,38025
1236,Cartigny,5737,9845,22167,6025,9698,26042
1237,Avully,5372,9218,20755,5618,9043,24285
1239,Collex,6139,10534,23718,6735,10842,29115
1241,Puplinge,6889,11821,26616,7318,11780,31633
1242,Satigny,6282,10780,24272,6484,10436,28026
1243,Presinge,6448,11064,24912,7680,12362,33195
1244,Choulex,7940,13624,30677,8410,13537,36352
1245,Collonge-Bellerive,8274,14198,31969,11094,17858,47955
1246,Corsier GE,8043,13801,31075,9406,15141,40659
1247,Anières,8238,14135,31827,9898,15932,42784
1248,Hermance,8547,14667,33024,7632,12285,32989
1251,Gy,7121,12219,27514,7565,12178,32702
1252,Meinier,6893,11828,26633,8117,13066,35088
1253,Vandoeuvres,9821,16851,37944,11421,18385,49370
1254,Jussy,7569,12987,29243,7236,11648,31278
1255,Veyrier,7690,13195,29711,8563,13783,37012
1256,Troinex,7709,13228,29786,8276,13322,35775
1257,La Croix-de-Rozon,6123,10506,23656,6758,10878,29212
1258,Perly,6011,10315,23226,6413,10322,27719
1260,Nyon,6290,12436,25731,6369,12753,31485
1261,Marchissy,4225,8355,17286,4169,8349,20612
1261,Le Vaud,4388,8676,17950,4592,9195,22700
1261,Longirod,4064,8036,16625,3842,7695,18996
1262,Eysins,5619,11110,22986,5546,11105,27415
1263,Crassier,4990,9867,20414,5412,10837,26754
1264,St-Cergue,3398,6718,13899,3577,7164,17685
1265,La Cure,3295,6515,13479,3561,7131,17606
1266,Duillier,5402,10681,22098,5886,11787,29100
1267,Vich,5335,10548,21823,5169,10350,25552
1267,Coinsins,5736,11342,23466,5482,10977,27100
1268,Begnins,5299,10478,21678,5987,11989,29597
1268,Burtigny,5059,10002,20694,4561,9133,22548
1269,Bassins,4841,9572,19805,4679,9370,23132
1270,Trélex,4906,9700,20068,5736,11487,28357
1271,Givrins,5399,10675,22087,5636,11286,27863
1272,Genolier,5394,10666,22068,5644,11302,27902
1273,Arzier-Le Muids,4819,9529,19716,5093,10198,25177
1274,Signy,5032,9951,20587,5492,10998,27152
1274,Grens,4966,9819,20314,5615,11245,27760
1275,Chéserex,4935,9758,20188,5313,10640,26268
1276,Gingins,4866,9622,19908,5427,10867,26827
1277,Borex,5700,11271,23319,5701,11416,28183
1277,Arnex-sur-Nyon,5751,11370,23525,5284,10581,26122
1278,La Rippe,4857,9603,19869,4778,9567,23619
1279,Chavannes-de-Bogis,5359,10596,21922,5057,10127,25000
1279,Bogis-Bossey,5283,10447,21614,5159,10332,25507
1281,Russin,6333,10867,24468,5492,8841,23740
1283,La Plaine,5301,9095,20479,5105,8217,22067
1283,Dardagny,5480,9403,21173,5223,8407,22575
1284,Chancy,5083,8722,19639,5477,8816,23674
1285,Athenaz (Avusy),5705,9789,22041,5971,9611,25809
1286,Soral,6120,10501,23644,5652,9098,24431
1287,Laconnex,5928,10172,22904,6473,10420,27981
1288,Aire-la-Ville,5588,9589,21591,5881,9466,25421
1290,Versoix,6547,11235,25297,7321,11784,31645
1290,Chavannes-des-Bois,5178,10239,21183,5740,11495,28378
1291,Commugny,5975,11815,24444,6455,12925,31910
1292,Chambésy,8387,14391,32403,8546,13756,36940
1293,Bellevue,6825,11710,26367,7383,11884,31913
1294,Genthod,6797,11664,26263,7499,12070,32413
1295,Mies,6161,12182,25205,6649,13314,32869
1295,Tannay,6432,12718,26314,6526,13069,32265
1296,Coppet,6920,13683,28310,6876,13768,33991
1297,Founex,6059,11980,24786,6913,13844,34177
1298,Céligny,6679,11461,25807,7774,12513,33602
1299,Crans VD,4055,8315,20074,3323,7710,19607
1302,Vufflens-la-Ville,4188,8282,17134,4624,9260,22862
1303,Penthaz,4003,7916,16378,4339,8689,21450
1304,Cossonay-Ville,4397,8693,17986,4311,8632,21310
1304,Dizy,3975,7860,16262,3703,7416,18308
1304,Allens,4313,8528,17644,4595,9202,22718
1304,Senarclens,4504,8905,18425,4036,8083,19954
1305,Penthalaz,3934,7778,16092,4684,9379,23154
1306,Daillens,3962,7835,16209,4345,8700,21478
1307,Lussery-Villars,3763,7440,15392,3595,7199,17773
1308,La Chaux (Cossonay),3704,7324,15154,3463,6935,17121
1312,Eclépens,3837,7586,15696,3483,6975,17218
1313,Ferreyres,3422,6766,13998,3041,6090,15034
1315,La Sarraz,3675,7266,15033,3846,7701,19012
1316,Chevilly,3749,7413,15337,3493,6994,17268
1317,Orny,3788,7489,15495,3888,7785,19219
1318,Pompaples,3540,6999,14480,4087,8185,20206
1321,Arnex-sur-Orbe,3001,5934,12277,2995,5998,14808
1322,Croy,2957,5847,12098,3218,6443,15907
1323,Romainmôtier,2794,5525,11430,3117,6241,15407
1324,Premier,2704,5347,11062,2759,5525,13640
1325,Vaulion,2379,4703,9731,2267,4540,11207
1326,Juriens,2756,5450,11275,2743,5493,13560
1329,Bretonnières,2799,5535,11452,3620,7249,17895
1337,Vallorbe,3098,6125,12672,2825,5658,13968
1338,Ballaigues,2624,5187,10733,3188,6384,15760
1341,L'Orient,4055,8315,20074,3323,7710,19607
1342,Le Pont,3258,6443,13330,3659,7327,18088
1343,Les Charbonnières,3061,6053,12522,2509,5025,12404
1344,L'Abbaye,4055,8315,20074,3323,7710,19607
1345,Le Lieu,2609,5158,10672,3258,6524,16107
1345,Le Séchey,2737,5413,11199,2726,5459,13476
1346,Les Bioux,2664,5267,10896,3486,6981,17235
1347,Le Sentier,3142,6213,12855,3105,6218,15351
1347,Le Solliat,2994,5920,12248,3025,6057,14954
1348,Le Brassus,3341,6606,13667,2963,5934,14650
1350,Orbe,3701,7318,15141,3724,7457,18409
1352,Agiez,3272,6471,13387,3498,7004,17291
1353,Bofflens,3006,5943,12296,2885,5778,14264
1354,Montcherand,3062,6055,12527,3619,7246,17889
1355,L'Abergement,4055,8315,20074,3323,7710,19607
1355,Sergey,2785,5506,11391,2904,5815,14356
1356,Les Clées,2627,5195,10748,2582,5171,12766
1356,La Russille,2838,5611,11610,3310,6629,16366
1357,Lignerolle,2706,5350,11070,2526,5058,12487
1358,Valeyres-sous-Rances,3039,6010,12434,3519,7046,17395
1372,Bavois,3980,7870,16283,3555,7119,17576
1373,Chavornay,4008,7924,16395,3678,7365,18181
1374,Corcelles-sur-Chavornay,4254,8411,17402,3387,6783,16745
1375,Penthéréaz,3648,7213,14924,3645,7300,18021
1376,Goumoens-la-Ville,3528,6976,14433,3828,7665,18923
1376,Eclagnens,3491,6902,14281,3749,7508,18534
